ID | Secret
-----------
facebook 2267200547475348 | facebook TeXhiG2f78gMTcIGhgrOxb25xCjQ9QGD
facebook 368710221249928968 | facebook pj7gHvR87LZcbhSw6IDSAThvo9Sf0IvX
facebook 766401297667242432 | facebook bhTxHxbrV8evXTdx7j2BApt9CEJtnCK4
facebook 884936040650491696 | facebook NwSPj06Pywfba4Ki9x9OrOX3Qd9dlani
facebook 6660481067934944 | facebook gKW8DXcamvc6Rfy3rbXOQ4NmYd8veVrc
facebook 8744481190307297 | facebook WI4qFqBtU1B0IZoRvgvL5Yh1VRVhw1FD
facebook 0765514056714987 | facebook m1TrWTwaCZNoIYe0ePsGUqCipPyYgNc2
facebook 274893273507784755 | facebook Yf6ylVwd7jNJ99SPSKU7hjqGzZ0LvRsO
facebook 355733216678378195 | facebook hUrQtWnbcjnVbI0nNrvTYb51brhfWTiz
facebook 30588904396207575 | facebook gLY8zbwB7377T25kVWMfbpCtPx8rqRRc
facebook 718962317652200 | facebook EFYUzI3YcR68V8FtavzCgBf402R9RKW1
facebook 2533068830418644 | facebook zvomTexGRea0ECpWLAWWtJICTdcB42gQ
facebook 4693771081488444 | facebook KJEsnMcxyV6GvfCnDDMQdpdlVAwknYZ2
facebook 87756789715734002 | facebook 1DILKJSQeLXybCo4cDW5EkxrO0qzhxTH
facebook 8497981236510948 | facebook 43OyEFhyusBf1YTbxb297fpb515urmtY
facebook 9574344874615938 | facebook RwjJpllwXqchaTYJ5iNpkxgcXiggUHZM
facebook 42717572898161494 | facebook A38FxWRieVxGdSdoz53wSaAYoYWgfMOD
facebook 48272290329603794 | facebook 68UrUSgkqOwJIGU1B1w1SP27QeHaQiE9
facebook 417756698424799067 | facebook T7KDDgv4wFynny0wyuSROiFaqXxfyEGX
facebook 474088380903256148 | facebook CTyEkKGZCoZ3W3k3dcM8jDo7K0AulLxV
facebook 9054801299478401 | facebook eBk6D1qMJjoLhMeRlXg5uRSHitlf4V6d
facebook 6039543248232064 | facebook a6SJTBlam1icQDt69E9CuxpohBDy4MZ0
facebook 82964187838640105 | facebook t7iTt9p59yITjf77Hru0qGsXCVQU3stB
facebook 66873870668289124 | facebook HLHjVzEzvItxNRPw1qrfXxcyJhcYSm2z
facebook 882646619845776151 | facebook maOK1z9ccPPJetFYLt97FUST5bok1yj2
facebook 445347177373790545 | facebook ET6VHTH6cbWgmVYBYpizuOUVmP15G6Xc
facebook 416441496084454967 | facebook ItDmsn4Xy8SJvZyCAIcBZ0pMhywFHria
facebook 693585115695707183 | facebook 8QmEm7aUzeIWJmNpvxMTM9TvjO2WQuLN
facebook 1893995212682130 | facebook Sfl4laTbqAJAjK6SkcwP2UNJNRZoP1Pu
facebook 82774663167292921 | facebook hUUqJWFh0OEDDEBqX2hOccFbfy9aBf67
facebook 6514723694798511 | facebook EAz0vzJe9vvdTpGs6kF48xQ8rt1TSgZi
facebook 56974334344433884 | facebook exCxd6l2QncY592BFngf3VobtcheMQFT
facebook 12495488304426364 | facebook W48fCqxbhjOWPLHOkOUZ5CE4gfXzpvIq
facebook 190455675660990987 | facebook JW8tSV4HFn8gPr6aawBuqSHw1TjD0WZh
facebook 80093557191781438 | facebook 3VSvOcrJFl55DwhFmfXPzVrs7ygNX0M6
facebook 148270355884170 | facebook kiPhQLcfX2Qi43p4hM8EUbQOouYFO2H6
facebook 539752657056058542 | facebook KsRNFoT7p7KFyoHyR3aj9CapgsImST2B
facebook 019862491652347752 | facebook O1qBUUSfMmF3HHbNtVPjMcvE7XEkOqke
facebook 698670999499714900 | facebook DCJkiwQvyikY5E7B1BJN9FAtmDslU2lU
facebook 770989849654015455 | facebook BdK7MCFhEYP3Ciz76A8MnYSQ4pYCrOUD
facebook 692339885141577229 | facebook FBnGs8XSfg0h6c36ocWcavwgFwwEuQTA
facebook 986139573386103079 | facebook G3ArmYztLsTKLmmNCbnLvlyutaw7S2Z2
facebook 7840667045800582 | facebook TxYaD7aXID1mNqJQ6r1aNYp2mDCPv7st
facebook 786601248272925562 | facebook PxRRUbkc4Ir1DnQYr0oACeFZJb10pRft
facebook 177859288060809610 | facebook OSjjgohuss46TsoFTnur4n8ETG2JVtMG
facebook 001697418829481013 | facebook BlREs88A6f6mLk11RVrJaPdGA7RZXvAl
