Key | Secret
------------
nexmo 59HIaBxD | nexmo 2F7bRc4NpRxjNLxT
nexmo y91klmjt | nexmo rxP_ADj_xPU19pK5
nexmo 7SimjMke | nexmo ouyhwhkxpXDAol5W
nexmo mFq_c3qX | nexmo 8LM8y46YDiOv77wc
nexmo 5WPXhsh6 | nexmo VlUjwe3IKsUEwUNA
nexmo ZExUji71 | nexmo ThAXpo8URmeVxfWQ
nexmo PWpGJ_7p | nexmo mMvDKs_HfSHLkXKY
nexmo mhaPs6oI | nexmo WbCrxpxKDejKTi9I
nexmo ds0znwvo | nexmo FwK1fpGUEGjGv9Na
nexmo GrjTQG5q | nexmo Upv0FM0Q9eDX6RGQ
nexmo EK7IzuhR | nexmo 4hkEHd8jqxCxGuzs
nexmo dKzs70oR | nexmo LKGkniedEf37v5bv
nexmo IMNEWd_b | nexmo U9xZhzoaUI5NXKr9
nexmo HlxLCB6t | nexmo ZloN8xONELkegZRP
nexmo Tkiw81sc | nexmo RO_wixQK2iPUPHFU
nexmo 9GExfpzI | nexmo R0QdTl7akeuMX6jc
nexmo MTxnHHUA | nexmo mEvUxA0twZqafYsz
nexmo 6bzA0GQf | nexmo ysXepxNGwX9LyVEG
nexmo 7OXtiZmY | nexmo Qd20H6JnLMiC0bfn
nexmo KiwN9yUN | nexmo HreFrV199rs66I9C
nexmo CdjBHbLy | nexmo HaeBoGeq9Y78J2JS
nexmo dtwgXxq1 | nexmo 6MPh1521_TlwPrFO
nexmo dDW_0ftc | nexmo iJi0RRZY50jxCD_L
nexmo ARB5TZfi | nexmo pgayk1m38Z8mQlqq
nexmo Iuho2kzg | nexmo y9ee8sX1ReuHxr1T
nexmo IEr1w7Qk | nexmo iDuX9gYPS5wcNCU4
nexmo TCBRkIL4 | nexmo BPxz1cu8S8gRYmgE
nexmo zJ6uo1xd | nexmo kHcFgPDu3wLvITmm
nexmo _Iz9p_nt | nexmo NqqpFAoxYirDNHGL
nexmo 5qwNAlMO | nexmo _Y5mVL9jd1s9LW4r
nexmo a9BsNLat | nexmo 8DrQ2bG32x56sEfK
nexmo IGxaFLEI | nexmo crJsrJPOhsSJadG1
nexmo pX5NEOX1 | nexmo IYNzU52ZxBPcOAej
nexmo 15jpf4x7 | nexmo g81WP6I8Z_31yqfp
nexmo KWiK3ckn | nexmo YvFvxyCXB3oFkCjY
nexmo x6P3u3ZL | nexmo UIYrafEZ3b_pUtLd
nexmo 8v3MlgLi | nexmo 0Lonq3pIJ6ADAlF3
nexmo MzATIv1J | nexmo 2x9NvVhpq3y1KERt
nexmo p5MFNl6k | nexmo 9ly5nwr1Npr_P9Zj
nexmo rS4TaxgC | nexmo vaoaHbP372qVzzt1
nexmo MjPhlQEF | nexmo LoFjeqSuiuLTb4LO
nexmo LdNQqX1w | nexmo UlFBb0rLFmxuTOHK
nexmo S3w4mCHT | nexmo K3ayDYkhSB6zT8fk
nexmo FC3oGnUK | nexmo K18i41BqBcQZOwgQ
nexmo L5VOEn8g | nexmo hi5VAnqhK1zYI82U
nexmo YMreHuWr | nexmo DBHqfmuU2CfVQ152
nexmo UsnJjqWn | nexmo LBFcsGN6thu5sYmt
nexmo tmhtIARS | nexmo HfOt_4evvhy9yGrU
nexmo smwd1Q5Q | nexmo qCiqbOP9QrFIhGeD
nexmo gUz7Nc74 | nexmo E8F9mCiyyXJAqTpB
nexmo uTwame54 | nexmo nFY3iQQx92bk_F97
nexmo oL1ndcnW | nexmo kTWbsNa2DD1JP1jw
nexmo odSpgK_a | nexmo aL_vPP8reIogZ1ko
nexmo 9Th3Nm5J | nexmo kGDznocF9OztRezZ
nexmo bTbV1C8W | nexmo FCFzaWPz6wejdBRp
nexmo GReIgkDU | nexmo EDNmeFGKlAIxL7FV
nexmo u2qQZKCl | nexmo 2Gucr4ylngUkxsBo
nexmo FVGwUMUW | nexmo eXH07ef_HecapJ2g
nexmo FpPQIrwX | nexmo 2hWtIKiE7RzdmKT9
nexmo mjjUqA0V | nexmo OlGgeLSlCcDrrU9j
nexmo sP_t8Yba | nexmo 8HDCvPROdjjrrj_4
nexmo 6hIr0MoO | nexmo FjALcoDp1IM2W6j0
nexmo fOMxrYjI | nexmo INI_sTQf9fG_99_8
nexmo YO3tnX1m | nexmo 3ADRGOfokoO9ywHu
nexmo k_aAIyYN | nexmo 05z63biATprj8W7I
nexmo PRCQsTEu | nexmo nBWzTRtxAgmYlxRj
nexmo ZXMvVTxY | nexmo J_qJZazoxNgRQZdG
nexmo 2QOSqtgo | nexmo JgtC8Yg4q8jPiGcD
nexmo qZVv5KjQ | nexmo BJ72NXyJ8Kg9uLnc
nexmo 8fbiaq2U | nexmo SXUlHq1tc7WWSE4c
nexmo _ApWBAM9 | nexmo Z5Gsi5ChzSkt3SnA
nexmo mjqtiKcS | nexmo BYZM19PR9DsQOkgH
nexmo QqEudBew | nexmo PEDVQZJaU_mfNB5x
nexmo vYEze1Q3 | nexmo n3AlOyPQ_bSYfZui
nexmo MHLukBzT | nexmo mRc1yz0LKivhlGIx
nexmo 8QUrKdvD | nexmo HqYmP_Pg5kpmg3bS
nexmo o1exVqe5 | nexmo AGA9Dfeo2h4GDWaM
nexmo tuAw90ai | nexmo PVLZzT2W1euazTuT
nexmo 6cPXJlP4 | nexmo Z9fbMN9zoF2yPBX6
nexmo LPUd7iB3 | nexmo GPlqmdeFtF_H4eue
nexmo IWcAXevy | nexmo HWF46pNjprO0MPZL
nexmo pAo8dC7l | nexmo IWsdoSc8SFXHkqCt
nexmo gUQbtWFv | nexmo sxOfOgHhjiUEBPJw
nexmo NsSLBob0 | nexmo 6MGP1ZXCSfdIO5jx
nexmo uzSwCRyb | nexmo ZBKTMYEp73zi0TSO
nexmo TEQktwQH | nexmo CzJZUEtbU2ftr7dI
nexmo qpzNFr4m | nexmo YH69R9L4_puW91F3
nexmo lsGpzvlb | nexmo aHpk8qVcGrMNdwSa
nexmo 2M3EpSNb | nexmo dDhHhuYBIjkkqZYh
nexmo WTO1lA_g | nexmo Em5S4hRMf6dNfFyz
nexmo iztXWmgS | nexmo DYqQA_FkYO3r2Trb
nexmo pfQ3_FPa | nexmo gbKRpikhq7csIs83
nexmo FXVVXhhq | nexmo _p6Ka03qYBkPCPEy
nexmo J79lgFU4 | nexmo e19yHDhHXHm3e0y5
nexmo SH7uzdMd | nexmo 4EXg_0JUWtd7QGb6
nexmo ozXjNCox | nexmo xQjOnh0Oul9eSLkg
nexmo xpgY7Ewi | nexmo XgQNA5RaNHWFIgm9
nexmo BZe0jNxl | nexmo fmOYOFFH0q_PdKuQ
nexmo vepZ2zUp | nexmo OSuDrGBynVDDMarS
nexmo ZM8b1tOx | nexmo zq5tkucfglky77yg
